ID REG,FAC NAME,JENIS PRODUK,TGL TERBIT,ALAMAT PU
291047,BPJPH SEHATI 2022,B0001,10/14/2022 0:00,KALIMAS MADYA 3 30 NYAMPLUNGAN PABEAN CANTIAN
292445,BPJPH SEHATI 2022,A0012,10/17/2022 0:00,LINGK.KENDALDOYONG RT.002/RW.001 TOGOGAN SRENGAT
296003,BPJPH SEHATI 2022,A0014,10/17/2022 0:00,JL. RANDUAGUNG 1 NO 46 SIDOTOPO WETAN KENJERAN
290757,BPJPH SEHATI 2022,B0001,10/19/2022 0:00,BULAK BANTENG SUROPATI GANG 5 E NO 5 BULAK BANTENG KENJERAN
303025,BPJPH SEHATI 2022,A0014,10/19/2022 0:00,JL. TANJUNG NO. 4 PAKUNDEN SUKOREJO
285229,BPJPH SEHATI 2022,A0010,10/19/2022 0:00,LEBAK REJO UTARA 6/9 DUKUH SETRO TAMBAKSARI
314210,BPJPH SEHATI 2022,A0007,10/23/2022 0:00,"JL. BIBIS TAMA 2/122, RT/RW -, MANUKAN WETAN, TANDES"
315063,BPJPH SEHATI 2022,A0007,10/27/2022 0:00,"DARMAWANGSA NO.20 RT.03/RW.02., RT/RW -, JUBUNG, SUKORAMBI"
314821,BPJPH SEHATI 2022,A0009,10/29/2022 0:00,"GUBENG KERTAJAYA 7F/28, RT/RW -, AIRLANGGA, GUBENG"
326641,BPJPH SEHATI 2022,B0001,11/1/2022 0:00,"KP. PARAKAN 004/008, RT/RW -, PONDOK BENDA, PAMULANG"
130752,BPJPH SEHATI 2022,A0007,11/2/2022 0:00,SIDOTOPO WETAN BARU 3/21 SIDOTOPO WETAN KENJERAN
326998,BPJPH SEHATI 2022,A0014,11/7/2022 0:00,"JL DONOKERTO 10/3, RT/RW -, KAPASAN, SIMOKERTO"
345374,BPJPH SEHATI 2022,A0014,11/29/2022 0:00,"KECIPIK BOTENG RT 02/ RW 01, DESA BOTENG KECAMATAN MENGANTI GRESIK, RT/RW -, BOTENG, MENGANTI"
298569,BPJPH SEHATI 2022,A0012,11/29/2022 0:00,JL. SETYAKI NO 19 KADEMANGAN KADEMANGAN
322271,BPJPH SEHATI 2022,A0007,12/2/2022 0:00,"APT PAKUBUWONO TERRACE N/18/C10 JL. CILEDUG RAYA NO.9, RT/RW -, CIPULIR, KEBAYORAN LAMA"
290923,BPJPH SEHATI,B0001,1/2/2023 0:00,KALIMAS MADYA 3 30 NYAMPLUNGAN PABEAN CANTIAN
305305,BPJPH SEHATI,B0001,1/13/2023 0:00,"GEDUNG INKUBATOR UNAIR JL. DHARMAWANGSA NO.33B, RT/RW 010/002, AIRLANGGA, GUBENG"
488633,BPJPH SEHATI,B0001,2/3/2023 0:00,"DUSUN PACUH, RT/RW -, PACUH, BALONGPANGGANG"
471460,BPJPH SEHATI,B0001,2/3/2023 0:00,"JL.KH.ZAINAL ABIDIN, RT/RW -, TAMBAKSUMUR, WARU"
468126,BPJPH SEHATI,A0007,2/4/2023 0:00,"JL. PURNAWIRAWAN KOMP. MANGGIS VIEW NO. 99 RT 019 RW 003, RT/RW -, GUNTUNG MANGGIS, LANDASAN ULIN"
449982,BPJPH SEHATI,A0007,2/4/2023 0:00,"DUKUH DELE NO. 38, RT/RW 1/1, BULUHARJO, PLAOSAN"
494169,BPJPH SEHATI,B0001,2/5/2023 0:00,"SUMENGKO KRAJAN, RT/RW -, SUMENGKO, WRINGINANOM"
478091,BPJPH SEHATI,A0006,2/5/2023 0:00,"BOBOH RT 04 RW 01, RT/RW -, BOBOH, MENGANTI"
504448,BPJPH SEHATI,B0001,2/8/2023 0:00,"MOJOROTO, RT/RW -, BALONGPANGGANG, BALONGPANGGANG"
451985,BPJPH SEHATI,A0006,2/8/2023 0:00,"GRIYA BABATAN MUKTI I-48, RT/RW -, BABATAN, WIYUNG"
454385,BPJPH SEHATI,B0001,2/8/2023 0:00,"GRIYA BABATAN MUKTI I-48, RT/RW -, BABATAN, WIYUNG"
469502,BPJPH SEHATI,A0011,2/8/2023 0:00,"KERTAJAYA INDAH TIMUR XVII/36, RT/RW -, GEBANG PUTIH, SUKOLILO"
515845,BPJPH SEHATI,A0012,2/12/2023 0:00,"SIDOREJO, RT/RW -, GAYUHAN, ARJOSARI"
516035,BPJPH SEHATI,A0007,2/12/2023 0:00,"DSN SIDOTOMPO, RT/RW -, SUMENGKO, WRINGINANOM"
516117,BPJPH SEHATI,A0004,2/12/2023 0:00,"SUMENGKO KRAJAN, RT/RW -, SUMENGKO, WRINGINANOM"
516469,BPJPH SEHATI,B0001,2/12/2023 0:00,"PENGALANGAN NO. 125, RT/RW -, PENGALANGAN, MENGANTI"
516285,BPJPH SEHATI,A0003,2/12/2023 0:00,"LEBANISUKO, RT/RW -, LEBANISUKO, WRINGINANOM"
516438,BPJPH SEHATI,A0007,2/12/2023 0:00,"LEBANIWARAS, RT/RW -, LEBANIWARAS, WRINGINANOM"
515232,BPJPH SEHATI,A0014,2/12/2023 0:00,"SUMENGKO UTARA, RT/RW -, SUMENGKO, WRINGINANOM"
